s_ph,s_temp,s_do,s_turbidity,index_heure
0.1743,-0.0992,0.1768,-2.379,1
-0.078,0.01643,0.1156,-1.218,2
-0.05316,0.0911,-0.3796,4.016,3
0.010506,-0.0654,0.2495,-2.33,4
0.12286,-0.007004,0.198,-1.743,5
-0.11786,0.07855,-0.4177,3.229,6
-0.06155,-0.0569,0.1522,-0.7314,7
0.2163,-0.0137,0.196,-2.115,8
-0.1534,0.0693,-0.2302,1.826,9
-0.09143,-0.05444,0.09033,0.955,10
0.2573,0.00595,-0.04718,-2.543,11
-0.1669,0.03032,0.04324,0.9507,12
-0.08075,-0.05597,0.1389,1.247,13
0.2203,0.04636,-0.3938,-1.748,14
-0.126,-0.003105,0.2717,1.155,15
-0.0763,-0.0784,0.2817,-0.4785,16
0.1711,0.07404,-0.6,-0.3726,17
-0.0672,-0.02191,0.2461,1.473,18
-0.05368,-0.0521,0.3005,-2.086,19
0.05017,0.0618,-0.396,1.7295,20
-0.04062,-0.02756,0.10297,-0.297,21
0.0796,-0.01958,0.1,-1.529,22
-0.03305,0.01086,-0.03903,2.047,23
-0.1207,0.01091,-0.03674,-0.4624,24
0.1862,0.03464,-0.0672,-1.081,25
-0.01185,-0.04874,0.2094,0.8804,26
-0.2413,0.01562,-0.1304,0.1978,27
0.2385,0.06696,-0.12195,-0.6953,28
0.06143,-0.06494,0.2163,-0.268,29
-0.313,-0.01417,-0.04968,1.885,30
0.2036,0.09674,-0.1433,-2.145,31
0.1208,-0.05026,0.1361,0.2291,32
-0.2433,-0.06445,-0.04178,2.676,33
0.07245,0.1135,-0.006744,-3.768,34
0.11566,-0.05002,0.05392,1.536,35
-0.1031,-0.0654,-0.0844,2.266,36
-0.02946,0.12006,0.0751,-3.96,37
0.08093,-0.08215,0.01362,1.123,38
-0.02122,-0.04745,-0.196,3.057,39
-0.0541,0.1027,0.2837,-3.387,40
0.07477,-0.05328,-0.002258,-0.6353,41
-0.03253,-0.03287,-0.4626,4.367,42
-0.05182,0.0446,0.5454,-3.322,43
0.1301,-0.02846,-0.0576,-1.498,44
-0.11395,-0.00691,-0.526,5.34,45
-0.0394,0.00647,0.566,-5.01,46
0.2112,0.02898,-0.03397,0.581,47
-0.1998,-0.01706,-0.527,5.34,48
-0.00755,-0.01724,0.5713,-7.836,49
0.2032,0.05,-0.01965,3.555,50
