Country (Name),ASFIS species (Name),FAO major fishing area (Name),Environment (Name),Unit (Name),Unit,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Madagascar,Brine shrimp,"Indian Ocean, Western",Marine,Value (USD 1000),USD (1000),0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Common carp,Africa - Inland waters,Freshwater,Value (USD 1000),USD (1000),488.53,,317.52,,259.43,,218.84,,200.56,,189.7,I,276,,218.8,,2548.68,,2398.4,,4474.85,,2986.38,,3272.75,,7216.11,,2960.19,,3743.25,I,3720,I,3572,,3600,,4900,,5100,,4571.25,,4911.5,,5239.96,I,5754.17,I,4998,I,4689.11,I,11579.58,,12902.25,,9424.92,I,8613.51,I,7090.49,I,7933.16,,11264.04,,166.38,,54.17,,42.24,I,113.3,,2049.63,,2903.56,,15574.23,
Madagascar,Eucheuma seaweeds NEI,"Indian Ocean, Western",Marine,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,410,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,94.5,I,94.5,I,94.5,I,108,I,108,I,121.5,I,715.5,I,492.75,I,492.75,I,486,I,540,I,142.62,,108.43,,275.38,,1443.18,,2620.92,,2742.45,,2793.1,,800.21,,1224.96,,1494.07,,2130.72,,2702.93,,4391.13,,4426.84,
Madagascar,Freshwater fishes NEI,Africa - Inland waters,Freshwater,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,16.05,I,22.49,I,22.11,I,21.12,I,20.89,I,19.53,I,20.32,I,19.89,I
Madagascar,Giant tiger prawn,"Indian Ocean, Western",Brackishwater,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,N,90,I,415.72,,160.8,,4131.7,,2162.4,,7675,,13337.5,,13623.5,,13706,,17430,,24000,,26995,,36565,,35035,,31215,,33630,,42315,,42285,,40000,I,16300,I,20000,I,40034.71,,29325.96,,36444.55,,29138.92,,17625.65,I,55377.09,,63150.21,,56523.55,,40841.99,,52204.12,,33517.68,,65026.96,,52137.18,,54211.12,
Madagascar,Indo-Pacific swamp crab,"Indian Ocean, Western",Brackishwater,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,25,I,25,I,25,I,25,I,25,I,25,I,25,I,25,I,25,I,25,I,25,I,50,I,50,I,50,I,50,I,50,I,125,I,124.3,I
Madagascar,Indonesian shortfin eel,Africa - Inland waters,Freshwater,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,200,I,300,I,207.4,I,255.13,I,63.44,I,57.98,I,96.45,I,0,...,0,...,43.37,,1.55,,0,...,0,...,0,...,0,...,0,...
Madagascar,Nile tilapia,Africa - Inland waters,Freshwater,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4.8,I,16.5,I,34.5,I,35.72,I,60.95,I,61.65,I,53.55,I,83.73,I,172.83,I,182.24,I,4109.81,,4816.11,,4158.84,I,5036.93,,6033.16,,10671.26,,3761.35,,540.56,,5424.91,,6070.77,,11614.31,,32705.85,
Madagascar,Rainbow trout,Africa - Inland waters,Freshwater,Value (USD 1000),USD (1000),0,...,0,N,0,N,0,N,3.86,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,35.55,,0,...,806.56,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Sandfish,"Indian Ocean, Western",Marine,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,255.67,,339.99,,951.19,,449.81,I,414.56,I,396.01,I,979.26,,11381.58,,2988.73,,2906.14,
Madagascar,Sea cucumbers NEI,"Indian Ocean, Western",Marine,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,I,4,I,4,I,4,I,4,I,4,I,4,I,4,I,4,I,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Sturgeons NEI,Africa - Inland waters,Freshwater,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,100,I,700,I,1125,I,3960,I,3150,I,4140,I,1.16,I
Madagascar,Tilapias NEI,Africa - Inland waters,Freshwater,Value (USD 1000),USD (1000),9.81,,89.51,,53.68,,45.69,,39.04,,34.94,I,36,I,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Totals - Value (USD 1000),,,,,,498.33,,407.03,,313.11,,264.53,,243.46,,224.64,,402,,634.52,,3119.48,,6530.1,,6637.25,,10661.38,,16610.25,,20839.61,,16666.19,,21173.25,,27814.5,,30661.5,,40259.5,,40047.8,,36439.5,,38357.25,,47981.72,,48107.67,,46337.57,,22066.55,,25641.84,,52201.69,,42803,,51153.67,,44098.69,,31873.03,,71454.62,,84232.75,,68827.07,,47070.68,,55873.13,,46196.75,,90451.4,,78320.23,,109969.52,
FAO. 2026. FishStat: Global aquaculture production 1950-2024. [Accessed on 28 March 2026]. In: FishStatJ. Available at www.fao.org/fishery/en/statistics/software/fishstatj. Licence: CC-BY-4.0.
