Lat,Lon,Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
-20.300000,48.900002,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,2.09
-20.700000,42.400002,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",KOR,NO.211DONG WON,2025-01-16T18:00:00Z,2025-03-14T22:00:00Z,DRIFTING_LONGLINES,FISHING,440782000,8821541,6LCW,2012-01-01T00:00:11Z,2026-06-09T23:59:31Z,0.81
-22.400000,50.700001,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,7.87
-21.500000,50.000000,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-05-08T12:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,0.79
-21.000000,50.799999,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,1.50
-21.000000,50.000000,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,1.86
-20.700000,49.000000,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,0.52
-22.800000,49.400002,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-05-19T11:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,4.28
-19.800000,49.400002,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,2.33
-19.900000,43.700001,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",KOR,NO.211DONG WON,2025-01-16T18:00:00Z,2025-03-14T22:00:00Z,DRIFTING_LONGLINES,FISHING,440782000,8821541,6LCW,2012-01-01T00:00:11Z,2026-06-09T23:59:31Z,1.00
-23.000000,50.099998,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-05-16T15:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,4.01
-18.200000,49.700001,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,8.43
-22.200000,49.200001,"2025-01-01T00:00:00.000Z,2025-06-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-05-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,1.26
