,model_name,scorer,value
0,Logistic Regression,accuracy,0.78
1,Logistic Regression,precision,0.76
2,Logistic Regression,recall,0.87
3,Logistic Regression,f1,0.81
4,SVM,accuracy,0.9
5,SVM,precision,0.87
6,SVM,recall,0.96
7,SVM,f1,0.91
8,Decision Tree,accuracy,0.9
9,Decision Tree,precision,0.88
10,Decision Tree,recall,0.94
11,Decision Tree,f1,0.91
12,Random Forest,accuracy,0.92
13,Random Forest,precision,0.92
14,Random Forest,recall,0.95
15,Random Forest,f1,0.93
16,XGBoost,accuracy,0.92
17,XGBoost,precision,0.91
18,XGBoost,recall,0.95
19,XGBoost,f1,0.93
