Date,Time,PH,TEMP,DO,TURBIDITY,tempC,label
01-02-2022,08:00:00,7.7,24.35,1.9,21.3,27,0
01-02-2022,08:20:00,7.6,24.3,0.8,31,30,0
01-02-2022,08:40:00,8.5,24.28,2.6,27.4,33,0
01-02-2022,09:00:00,7.5,24.25,2.9,21.9,37,0
01-02-2022,09:20:00,7.4,24.1,1.3,22.7,37,0
01-02-2022,09:40:00,7.4,24.08,1.5,31.1,38,0
01-02-2022,10:00:00,8.6,24.08,0.7,34.1,39,0
01-02-2022,10:20:00,8.6,23.89,1.1,28.6,37,0
01-02-2022,10:40:00,7.4,23.75,1.6,33.6,35,0
01-02-2022,11:00:00,8.6,23.71,2.2,20,33,0
01-02-2022,11:20:00,8.9,23.63,1.3,22.7,31,0
01-02-2022,11:40:00,8.4,23.61,0,25.9,30,0
01-02-2022,12:00:00,8,23.59,0.8,23,29,0
01-02-2022,12:20:00,8,23.54,0.9,26.2,27,0
01-02-2022,12:40:00,7.6,23.27,2,23.2,26,0
01-02-2022,13:00:00,8.1,23.04,2.6,29.2,25,0
01-02-2022,13:20:00,7.3,23.01,0.7,27.4,24,0
01-02-2022,13:40:00,8.6,22.66,2.8,32.2,23,0
01-02-2022,14:00:00,8.5,22.33,1.7,29.4,23,0
01-02-2022,14:20:00,7.9,22.18,1.5,29.1,23,0
01-02-2022,14:40:00,8.3,22.04,1.2,22.3,24,0
01-02-2022,15:00:00,8.5,21.95,0,23,25,0
01-02-2022,15:20:00,8.3,21.93,0.1,27,29,0
01-02-2022,15:40:00,8.1,21.73,0.4,21.4,32,0
01-02-2022,16:00:00,8.7,21.62,2.4,25.7,35,0
01-02-2022,16:20:00,7.5,21.6,1.2,30.7,36,0
01-02-2022,16:40:00,7.8,21.52,1.9,24.3,37,0
01-02-2022,17:00:00,8,21.09,1.4,28.5,36,0
01-02-2022,17:20:00,8.8,21.06,2,21.9,35,0
01-02-2022,17:40:00,7.7,21.06,0.7,25.8,34,0
01-02-2022,18:00:00,7.9,21.25,1.3,31.6,32,0
01-02-2022,18:20:00,7.5,21.42,0.4,26.8,28,0
01-02-2022,18:40:00,7.6,21.52,0.8,25.6,27,0
01-02-2022,19:00:00,7.9,21.76,0.5,32.4,26,0
01-02-2022,19:20:00,7.6,21.91,0.6,25.8,25,0
01-02-2022,19:40:00,8.6,21.93,0.4,20.6,24,0
01-02-2022,20:00:00,7.5,22.37,2.2,27.4,23,0
01-02-2022,20:20:00,7.3,22.49,2.3,29.1,22,0
01-02-2022,20:40:00,8.5,22.55,1.9,32.5,22,0
01-02-2022,21:00:00,8.1,22.89,2.5,33.6,21,0
01-02-2022,21:20:00,7.4,23.06,0.2,28.1,20,0
01-02-2022,21:40:00,7.4,24.06,0.1,28.4,25,0
01-02-2022,22:00:00,7.5,24.16,0.2,19.2,30,0
01-02-2022,22:20:00,7.9,24.6,1.9,22.5,33,0
01-02-2022,22:40:00,8.8,24.94,1.7,23.3,37,0
01-02-2022,23:00:00,8.8,25.05,0.6,19.1,38,0
01-02-2022,23:20:00,8.5,25.14,1.7,23.4,39,0
01-02-2022,23:40:00,8.2,25.31,1.6,18.7,40,0
01-02-2022,00:00:00,8.6,25.31,1.5,30,38,0
01-02-2022,00:20:00,8.5,25.36,2.8,30.2,35,0
01-02-2022,00:40:00,8.3,25.5,0.9,19.1,33,0
01-02-2022,01:00:00,8.5,25.62,0.8,26.8,31,0
01-02-2022,01:20:00,8.1,25.92,2.2,31.2,29,0
01-02-2022,01:40:00,7.6,26.06,2.8,26.6,27,0
01-02-2022,02:00:00,8.7,25.95,1.9,27.4,25,0
01-02-2022,02:20:00,8.7,25.93,2.4,28.1,24,0
01-02-2022,02:40:00,8,25.92,2.6,25,24,0
01-02-2022,03:00:00,7.8,25.78,1.9,28,24,0
01-02-2022,03:20:00,8.9,25.73,2.3,30.1,24,0
01-02-2022,03:40:00,7.6,25.69,2.8,23.5,23,0
01-02-2022,04:00:00,7.5,25.62,2.2,28.6,22,0
01-02-2022,04:20:00,8.4,25.44,2.2,27.5,26,0
01-02-2022,04:40:00,7.7,25.31,1,19.2,27,0
01-02-2022,05:00:00,8.4,25.03,2.9,32.7,31,0
01-02-2022,05:20:00,7.3,25.02,2.3,33.4,35,0
01-02-2022,05:40:00,8.2,24.46,2.4,20.8,40,0
01-02-2022,06:00:00,8.8,24.41,2.5,20.9,41,0
01-02-2022,06:20:00,7.5,24.15,1,32.8,39,0
01-02-2022,06:40:00,8.5,24.14,1.6,32,36,0
01-02-2022,07:00:00,8.8,23.86,2.1,33.5,34,0
02-02-2022,07:20:00,8.7,23.73,1.4,19,32,0
02-02-2022,07:40:00,8,23.52,2.9,22,27,0
02-02-2022,08:00:00,8,23.49,0.1,31,27,0
02-02-2022,08:20:00,7.4,23.3,1.6,29.4,26,0
02-02-2022,08:40:00,8.8,23.14,2.7,32.1,25,0
02-02-2022,09:00:00,7.7,23.05,1.6,27.1,25,0
02-02-2022,09:20:00,8.1,22.66,0.4,31.8,24,0
02-02-2022,09:40:00,7.7,22.74,1.5,19.4,24,0
02-02-2022,10:00:00,8.1,22.38,2.3,33.7,23,0
02-02-2022,10:20:00,8.8,22.33,1.7,20.3,22,0
02-02-2022,10:40:00,7.9,22.16,0.6,33.4,21,0
02-02-2022,11:00:00,8.4,22.11,1.9,28.9,23,0
02-02-2022,11:20:00,7.9,22.05,2.2,18.8,28,0
02-02-2022,11:40:00,7.4,21.74,0.8,30.2,31,0
02-02-2022,12:00:00,8.2,21.71,2.5,30.7,34,0
02-02-2022,12:20:00,8.3,21.68,2.7,32,38,0
02-02-2022,12:40:00,8,21.65,1.6,18.7,38,0
02-02-2022,13:00:00,7.3,21.53,2.8,27.6,39,0
02-02-2022,13:20:00,8.2,21.47,0.2,28.1,37,0
02-02-2022,13:40:00,8.5,21.43,2.7,26.2,35,0
02-02-2022,14:00:00,7.7,21.09,2.4,19.4,31,0
02-02-2022,14:20:00,8.4,21.14,0.2,24.7,29,0
02-02-2022,14:40:00,8.3,21.23,1.2,25.6,28,0
02-02-2022,15:00:00,7.8,21.23,0,30.2,27,0
02-02-2022,15:20:00,8.8,21.31,1,21.5,26,0
02-02-2022,15:40:00,7.9,21.85,0.1,27.3,25,0
02-02-2022,16:00:00,8.8,21.96,2.7,30.4,25,0
02-02-2022,16:20:00,8.6,22.07,2.9,20.3,24,0
02-02-2022,16:40:00,7.6,22.12,0,32.5,24,0
02-02-2022,17:00:00,8.1,22.41,0.2,29.6,24,0
02-02-2022,17:20:00,8.3,22.92,1.6,34.1,23,0
02-02-2022,17:40:00,8.1,23.02,2.9,27.1,25,0
02-02-2022,18:00:00,7.9,23.6,0.2,28.1,29,0
02-02-2022,18:20:00,7.9,23.66,1.5,22.1,32,0
02-02-2022,18:40:00,7.4,24.09,2,22.2,38,0
02-02-2022,19:00:00,7.3,24.15,0.7,32,38,0
02-02-2022,19:20:00,8.4,24.23,0.1,33.8,39,0
02-02-2022,19:40:00,7.6,24.52,2.2,26.8,40,0
02-02-2022,20:00:00,7.6,24.68,2.9,25.6,38,0
02-02-2022,20:20:00,7.7,24.87,1.7,21,37,0
02-02-2022,20:40:00,7.5,25.17,1.2,27.6,36,0
02-02-2022,21:00:00,8.1,25.33,1.3,31.6,34,0
02-02-2022,21:20:00,8.3,25.64,1.5,18.7,31,0
02-02-2022,21:40:00,8.9,26.07,0.5,24.5,29,0
02-02-2022,22:00:00,7.6,25.98,0.3,25,27,0
02-02-2022,22:20:00,7.4,25.91,0.5,29.2,26,0
02-02-2022,22:40:00,7.5,25.55,2.4,19.8,26,0
02-02-2022,23:00:00,7.7,25.46,0.9,30.8,25,0
