,scorer,model_name,value,column
0,r2,LSTM_64,0.942695239316488,PH
1,mae,LSTM_64,0.12990227609974236,PH
2,mse,LSTM_64,0.026134587451419992,PH
3,mape,LSTM_64,0.01880468287748194,PH
4,rmse,LSTM_64,0.16166195424842542,PH
5,ma,LSTM_64,0.11109396678206185,PH
6,r2,LSTM_64,0.9480081326960972,TEMP
7,mae,LSTM_64,0.46770582360107416,TEMP
8,mse,LSTM_64,0.3848984769138299,TEMP
9,mape,LSTM_64,0.019058345879113883,TEMP
10,rmse,LSTM_64,0.620401867271392,TEMP
11,ma,LSTM_64,0.35810183945473995,TEMP
12,r2,LSTM_64,0.9609864420520384,DO
13,mae,LSTM_64,0.4697572827287777,DO
14,mse,LSTM_64,0.38788954550350735,DO
15,mape,LSTM_64,0.041433225409688475,DO
16,rmse,LSTM_64,0.6228077917813066,DO
17,ma,LSTM_64,0.3538146946481575,DO
18,r2,LSTM_64,0.9525099833778746,TURBIDITY
19,mae,LSTM_64,0.9486355448484829,TURBIDITY
20,mse,LSTM_64,1.4539632113067944,TURBIDITY
21,mape,LSTM_64,0.03338097007084538,TURBIDITY
22,rmse,LSTM_64,1.2058039688551345,TURBIDITY
23,ma,LSTM_64,0.782154838380194,TURBIDITY
