,scorer,model_name,value,column
0,r2,Linear Regression,0.9529689213502307,PH
1,mae,Linear Regression,0.11696724984204009,PH
2,mse,Linear Regression,0.021449140058282454,PH
3,mape,Linear Regression,0.017011480260507472,PH
4,rmse,Linear Regression,0.14645524933672557,PH
5,ma,Linear Regression,0.09784455733800712,PH
6,r2,Decision Tree,0.9020439232878235,PH
7,mae,Decision Tree,0.16786539317852334,PH
8,mse,Decision Tree,0.04467415311916609,PH
9,mape,Decision Tree,0.02439810212026708,PH
10,rmse,Decision Tree,0.21136261050423769,PH
11,ma,Decision Tree,0.13749995804139736,PH
12,r2,Random Forest,0.9442095081026913,PH
13,mae,Random Forest,0.1279042257802429,PH
14,mse,Random Forest,0.025443985317392174,PH
15,mape,Random Forest,0.018597456265545556,PH
16,rmse,Random Forest,0.1595117090291248,PH
17,ma,Random Forest,0.10885835158745483,PH
18,r2,SVM,0.9529935167400277,PH
19,mae,SVM,0.11692722054398784,PH
20,mse,SVM,0.02143792300828721,PH
21,mape,SVM,0.017005215222874594,PH
22,rmse,SVM,0.14641694918378545,PH
23,ma,SVM,0.09790985625592974,PH
24,r2,XGBoost,0.9474178997742039,PH
25,mae,XGBoost,0.12429346941350554,PH
26,mse,XGBoost,0.023980756229312606,PH
27,mape,XGBoost,0.018088032171304974,PH
28,rmse,XGBoost,0.15485721239035852,PH
29,ma,XGBoost,0.10567365951738861,PH
30,r2,Linear Regression,0.9506966768319975,TEMP
31,mae,Linear Regression,0.4556021333167868,TEMP
32,mse,Linear Regression,0.3649950459219218,TEMP
33,mape,Linear Regression,0.018490138773960434,TEMP
34,rmse,Linear Regression,0.6041481986416262,TEMP
35,ma,Linear Regression,0.3437639772704699,TEMP
36,r2,Decision Tree,0.8806181540827793,TEMP
37,mae,Decision Tree,0.675257288297113,TEMP
38,mse,Decision Tree,0.883789966536756,TEMP
39,mape,Decision Tree,0.027316314485835304,TEMP
40,rmse,Decision Tree,0.9401010405997623,TEMP
41,ma,Decision Tree,0.4981266739569499,TEMP
42,r2,Random Forest,0.9359462247419585,TEMP
43,mae,Random Forest,0.5048743868914997,TEMP
44,mse,Random Forest,0.47419340400474946,TEMP
45,mape,Random Forest,0.020529510501725426,TEMP
46,rmse,Random Forest,0.6886170227381468,TEMP
47,ma,Random Forest,0.3773227999285105,TEMP
48,r2,SVM,0.9508587295052648,TEMP
49,mae,SVM,0.4543722573152367,TEMP
50,mse,SVM,0.3637953616183012,TEMP
51,mape,SVM,0.018433696808297914,TEMP
52,rmse,SVM,0.6031545089098657,TEMP
53,ma,SVM,0.33904489539983373,TEMP
54,r2,XGBoost,0.9359184564925472,TEMP
55,mae,XGBoost,0.5075322378600484,TEMP
56,mse,XGBoost,0.47439897378824075,TEMP
57,mape,XGBoost,0.020699227071719544,TEMP
58,rmse,XGBoost,0.6887662693455893,TEMP
59,ma,XGBoost,0.38326051558632557,TEMP
60,r2,Linear Regression,0.960648614302233,DO
61,mae,Linear Regression,0.4691197637852249,DO
62,mse,Linear Regression,0.3912483740549895,DO
63,mape,Linear Regression,0.04067537456980901,DO
64,rmse,Linear Regression,0.6254985004418392,DO
65,ma,Linear Regression,0.35008293436777826,DO
66,r2,Decision Tree,0.9070092168979825,DO
67,mae,Decision Tree,0.7151751917355692,DO
68,mse,Decision Tree,0.9245542957545473,DO
69,mape,Decision Tree,0.061961942171909014,DO
70,rmse,Decision Tree,0.9615374645610785,DO
71,ma,Decision Tree,0.5332610525976911,DO
72,r2,Random Forest,0.9519652591979303,DO
73,mae,Random Forest,0.5200514354338511,DO
74,mse,Random Forest,0.47758201912643367,DO
75,mape,Random Forest,0.04545926955415454,DO
76,rmse,Random Forest,0.691073092463043,DO
77,ma,Random Forest,0.395246616734509,DO
78,r2,SVM,0.9608397815259061,DO
79,mae,SVM,0.47931076566110414,DO
80,mse,SVM,0.3893477074302066,DO
81,mape,SVM,0.042930038032383835,DO
82,rmse,SVM,0.623977329259811,DO
83,ma,SVM,0.35855937135134486,DO
84,r2,XGBoost,0.9570581633814514,DO
85,mae,XGBoost,0.49567644906098274,DO
86,mse,XGBoost,0.42694617884562824,DO
87,mape,XGBoost,0.044066217991362434,DO
88,rmse,XGBoost,0.6534111866547957,DO
89,ma,XGBoost,0.37690368540487285,DO
90,r2,Linear Regression,0.9526971224665491,TURBIDITY
91,mae,Linear Regression,0.9487551345040169,TURBIDITY
92,mse,Linear Regression,1.4482337260447613,TURBIDITY
93,mape,Linear Regression,0.0333114934117399,TURBIDITY
94,rmse,Linear Regression,1.2034258290583435,TURBIDITY
95,ma,Linear Regression,0.7961318307937972,TURBIDITY
96,r2,Decision Tree,0.8961918525839564,TURBIDITY
97,mae,Decision Tree,1.3937823232137212,TURBIDITY
98,mse,Decision Tree,3.1782096135658295,TURBIDITY
99,mape,Decision Tree,0.048721989807794436,TURBIDITY
100,rmse,Decision Tree,1.7827533799058775,TURBIDITY
101,ma,Decision Tree,1.15687036290538,TURBIDITY
102,r2,Random Forest,0.9425508825123191,TURBIDITY
103,mae,Random Forest,1.0401043897576998,TURBIDITY
104,mse,Random Forest,1.7588729019356484,TURBIDITY
105,mape,Random Forest,0.03640740608225942,TURBIDITY
106,rmse,Random Forest,1.3262250570456164,TURBIDITY
107,ma,Random Forest,0.8705950241874376,TURBIDITY
108,r2,SVM,0.9527920315849953,TURBIDITY
109,mae,SVM,0.9472382887134928,TURBIDITY
110,mse,SVM,1.4453279707628424,TURBIDITY
111,mape,SVM,0.03324123722499018,TURBIDITY
112,rmse,SVM,1.202217938130538,TURBIDITY
113,ma,SVM,0.7939525536324936,TURBIDITY
114,r2,XGBoost,0.9456549928653629,TURBIDITY
115,mae,XGBoost,1.0073652473414416,TURBIDITY
116,mse,XGBoost,1.6638368800897532,TURBIDITY
117,mape,XGBoost,0.03529268077535565,TURBIDITY
118,rmse,XGBoost,1.2898980115070158,TURBIDITY
119,ma,XGBoost,0.8348879647208456,TURBIDITY
