,Date,Time,PH,TEMP,DO,TURBIDITY,tempC,label
0,01-02-2022,08:00:00,7.7,24.35,1.9,21.3,27,0
3,01-02-2022,09:00:00,7.5,24.25,2.9,21.9,37,0
6,01-02-2022,10:00:00,8.6,24.08,0.7,34.1,39,0
9,01-02-2022,11:00:00,8.6,23.71,2.2,20.0,33,0
12,01-02-2022,12:00:00,8.0,23.59,0.8,23.0,29,0
15,01-02-2022,13:00:00,8.1,23.04,2.6,29.2,25,0
18,01-02-2022,14:00:00,8.5,22.33,1.7,29.4,23,0
21,01-02-2022,15:00:00,8.5,21.95,0.0,23.0,25,0
24,01-02-2022,16:00:00,8.7,21.62,2.4,25.7,35,0
27,01-02-2022,17:00:00,8.0,21.09,1.4,28.5,36,0
30,01-02-2022,18:00:00,7.9,21.25,1.3,31.6,32,0
33,01-02-2022,19:00:00,7.9,21.76,0.5,32.4,26,0
36,01-02-2022,20:00:00,7.5,22.37,2.2,27.4,23,0
39,01-02-2022,21:00:00,8.1,22.89,2.5,33.6,21,0
42,01-02-2022,22:00:00,7.5,24.16,0.2,19.2,30,0
45,01-02-2022,23:00:00,8.8,25.05,0.6,19.1,38,0
48,01-02-2022,00:00:00,8.6,25.31,1.5,30.0,38,0
51,01-02-2022,01:00:00,8.5,25.62,0.8,26.8,31,0
54,01-02-2022,02:00:00,8.7,25.95,1.9,27.4,25,0
57,01-02-2022,03:00:00,7.8,25.78,1.9,28.0,24,0
60,01-02-2022,04:00:00,7.5,25.62,2.2,28.6,22,0
63,01-02-2022,05:00:00,8.4,25.03,2.9,32.7,31,0
66,01-02-2022,06:00:00,8.8,24.41,2.5,20.9,41,0
69,01-02-2022,07:00:00,8.8,23.86,2.1,33.5,34,0
72,02-02-2022,08:00:00,8.0,23.49,0.1,31.0,27,0
75,02-02-2022,09:00:00,7.7,23.05,1.6,27.1,25,0
78,02-02-2022,10:00:00,8.1,22.38,2.3,33.7,23,0
81,02-02-2022,11:00:00,8.4,22.11,1.9,28.9,23,0
84,02-02-2022,12:00:00,8.2,21.71,2.5,30.7,34,0
87,02-02-2022,13:00:00,7.3,21.53,2.8,27.6,39,0
90,02-02-2022,14:00:00,7.7,21.09,2.4,19.4,31,0
93,02-02-2022,15:00:00,7.8,21.23,0.0,30.2,27,0
96,02-02-2022,16:00:00,8.8,21.96,2.7,30.4,25,0
99,02-02-2022,17:00:00,8.1,22.41,0.2,29.6,24,0
102,02-02-2022,18:00:00,7.9,23.6,0.2,28.1,29,0
105,02-02-2022,19:00:00,7.3,24.15,0.7,32.0,38,0
108,02-02-2022,20:00:00,7.6,24.68,2.9,25.6,38,0
111,02-02-2022,21:00:00,8.1,25.33,1.3,31.6,34,0
114,02-02-2022,22:00:00,7.6,25.98,0.3,25.0,27,0
117,02-02-2022,23:00:00,7.7,25.46,0.9,30.8,25,0
120,02-02-2022,00:00:00,7.6,25.01,0.8,31.3,24,0
123,02-02-2022,01:00:00,8.0,24.49,0.6,25.7,28,0
126,02-02-2022,02:00:00,7.3,24.27,0.6,23.5,38,0
129,02-02-2022,03:00:00,7.7,23.96,1.2,22.0,40,0
132,02-02-2022,04:00:00,7.3,23.71,2.3,30.9,35,0
