id,Texture_sol,Couleur_sol,Type_irrigation,Hauteur_Eau,Niveau_Engrais,Temperature_Actuelle,Densite_Tilapia_Are
1,Sableux,Brun-Grisatre,Irrigue (Continu),15,Fort (Zezika + NPK),chaud,44
2,Limoneux,Brun-Grisatre,Pluvial,6,Moyen (Zezika Omby),froid,10
3,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Fort (Zezika + NPK),très chaud,41
4,Argileux (Madity),Orange / Rouge,Irrigue (Continu),14,Moyen (Zezika Omby),chaud,45
5,Limoneux,Brun-Grisatre,Pluvial,5,Nul,chaud,23
6,Sableux,Brun-Grisatre,Irrigue (Continu),15,Nul,froid,10
7,Limoneux,Orange / Rouge,Pluvial,18,Fort (Zezika + NPK),froid,17
8,Argileux (Madity),Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),tres froid,22
9,Argileux (Madity),Brun-Grisatre,Pluvial,10,Fort (Zezika + NPK),très chaud,32
10,Sableux,Noiratre (Rich),Pluvial,16,Nul,humide,26
11,Argileux (Madity),Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),très chaud,33
12,Limoneux,Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),chaud,42
13,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),18,Nul,chaud,44
14,Argileux (Madity),Orange / Rouge,Pluvial,5,Moyen (Zezika Omby),froid,11
15,Argileux (Madity),Brun-Grisatre,Pluvial,14,Nul,très chaud,22
16,Argileux (Madity),Noiratre (Rich),Pluvial,15,Moyen (Zezika Omby),froid,31
17,Argileux (Madity),Noiratre (Rich),Pluvial,15,Fort (Zezika + NPK),humide,46
18,Sableux,Brun-Grisatre,Pluvial,7,Nul,chaud,10
19,Argileux (Madity),Brun-Grisatre,Pluvial,11,Moyen (Zezika Omby),très chaud,33
20,Limoneux,Orange / Rouge,Irrigue (Continu),16,Nul,froid,17
21,Limoneux,Noiratre (Rich),Irrigue (Continu),8,Moyen (Zezika Omby),chaud,44
22,Sableux,Brun-Grisatre,Pluvial,11,Moyen (Zezika Omby),chaud,31
23,Limoneux,Brun-Grisatre,Irrigue (Continu),10,Moyen (Zezika Omby),humide,37
24,Sableux,Orange / Rouge,Irrigue (Continu),13,Moyen (Zezika Omby),froid,32
25,Sableux,Brun-Grisatre,Pluvial,13,Moyen (Zezika Omby),froid,19
26,Argileux (Madity),Orange / Rouge,Irrigue (Continu),9,Nul,chaud,31
